Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,58.702000,60.164001,58.644001,59.984001,59.984001,23128000
2018-05-02,59.714001,61.369999,59.556000,60.230000,60.230000,44852000
2018-05-03,55.757999,57.608002,55.046001,56.889999,56.889999,86760500
2018-05-04,56.599998,59.372002,55.903999,58.818001,58.818001,42847000
2018-05-07,59.500000,61.192001,59.034000,60.554001,60.554001,43391000
2018-05-08,60.160000,61.549999,59.799999,60.394001,60.394001,29650000
2018-05-09,60.082001,61.402000,60.009998,61.369999,61.369999,28637000
2018-05-10,61.500000,62.598000,60.821999,61.004002,61.004002,28258000
2018-05-11,61.540001,61.776001,59.816002,60.212002,60.212002,23398000
2018-05-14,60.664001,60.987999,58.324001,58.394001,58.394001,36434000
2018-05-15,57.001999,57.391998,56.099998,56.835999,56.835999,47596000
2018-05-16,56.765999,57.762001,56.312000,57.296001,57.296001,28370000
2018-05-17,57.180000,57.838001,56.793999,56.908001,56.908001,22103000
2018-05-18,56.930000,56.930000,54.799999,55.363998,55.363998,36259500
2018-05-21,56.265999,58.298000,56.259998,56.897999,56.897999,45913000
2018-05-22,57.551998,57.599998,54.683998,55.001999,55.001999,44729000
2018-05-23,55.551998,55.981998,54.799999,55.813999,55.813999,29925500
2018-05-24,55.680000,56.222000,54.978001,55.570000,55.570000,20883500
2018-05-25,55.526001,55.928001,55.122002,55.770000,55.770000,19375500
2018-05-29,55.702000,57.299999,55.230000,56.751999,56.751999,28333000
2018-05-30,56.658001,59.001999,56.320000,58.344002,58.344002,37448500
2018-05-31,57.442001,58.074001,56.585999,56.945999,56.945999,29598500
2018-06-01,57.172001,58.389999,56.768002,58.363998,58.363998,27122000
2018-06-04,58.868000,59.799999,58.709999,59.348000,59.348000,23989000
2018-06-05,59.540001,59.560001,57.348000,58.226002,58.226002,29976000
2018-06-06,60.099998,64.433998,59.495998,63.900002,63.900002,93836500
2018-06-07,63.230000,66.000000,62.716000,63.217999,63.217999,71726500
2018-06-08,63.799999,64.896004,63.430000,63.532001,63.532001,41026000
2018-06-11,64.501999,66.931999,64.500000,66.419998,66.419998,65917500
2018-06-12,68.940002,70.994003,67.599998,68.554001,68.554001,111737000
2018-06-13,69.342003,69.440002,67.959999,68.956001,68.956001,47349000
2018-06-14,69.526001,71.750000,69.320000,71.543999,71.543999,54905000
2018-06-15,70.767998,72.933998,70.250000,71.634003,71.634003,54241500
2018-06-18,71.080002,74.746002,70.900002,74.166000,74.166000,60366000
2018-06-19,73.031998,74.000000,69.250000,70.510002,70.510002,63809500
2018-06-20,71.608002,72.875999,70.400002,72.444000,72.444000,41918500
2018-06-21,72.400002,73.241997,69.253998,69.501999,69.501999,39835500
2018-06-22,70.307999,70.449997,66.400002,66.725998,66.725998,51330500
2018-06-25,66.024002,67.694000,65.500000,66.601997,66.601997,34656500
2018-06-26,67.209999,68.709999,65.160004,68.400002,68.400002,37262500
2018-06-27,69.000000,70.157997,67.900002,68.900002,68.900002,41668500
2018-06-28,69.732002,71.403999,69.222000,69.986000,69.986000,41990000
2018-06-29,70.666000,70.772003,68.482002,68.589996,68.589996,32462000
2018-07-02,72.014000,72.956001,65.970001,67.014000,67.014000,93799000
2018-07-03,66.349998,66.498001,61.938000,62.172001,62.172001,61413000
2018-07-05,62.751999,62.877998,59.243999,61.832001,61.832001,87382000
2018-07-06,60.990002,62.414001,60.400002,61.779999,61.779999,44327500
2018-07-09,62.397999,63.703999,61.599998,63.702000,63.702000,37984000
2018-07-10,64.912003,65.536003,63.840000,64.494003,64.494003,47357500
2018-07-11,63.160000,64.388000,63.014000,63.792000,63.792000,24420500
2018-07-12,64.286003,64.646004,62.554001,63.341999,63.341999,28606000
2018-07-13,63.116001,63.916000,61.849998,63.773998,63.773998,29349000
2018-07-16,62.341999,63.032001,61.250000,62.020000,62.020000,39093500
2018-07-17,61.762001,64.947998,61.700001,64.538002,64.538002,34981000
2018-07-18,65.000000,65.099998,63.250000,64.769997,64.769997,28121000
2018-07-19,63.265999,64.708000,62.801998,64.045998,64.045998,29576500
2018-07-20,64.246002,64.648003,62.341999,62.716000,62.716000,25811000
2018-07-23,60.368000,61.099998,58.571999,60.639999,60.639999,54964500
2018-07-24,60.883999,61.543999,58.509998,59.486000,59.486000,47954000
2018-07-25,59.348000,61.924000,58.900002,61.748001,61.748001,35377000
2018-07-26,60.970001,62.139999,60.728001,61.330002,61.330002,23152500
2018-07-27,61.450001,61.537998,59.068001,59.436001,59.436001,28516500
2018-07-30,59.180000,59.220001,57.226002,58.034000,58.034000,34070500
2018-07-31,58.450001,59.664001,57.813999,59.627998,59.627998,25384500
2018-08-01,59.598000,60.599998,58.599998,60.167999,60.167999,50647000
2018-08-02,65.688004,69.998001,64.632004,69.907997,69.907997,116075000
2018-08-03,69.561996,71.000000,68.505997,69.634003,69.634003,68282500
2018-08-06,69.092003,70.996002,68.363998,68.398003,68.398003,42821500
2018-08-07,68.767998,77.491997,67.830002,75.914001,75.914001,154379000
2018-08-08,73.818001,76.528000,73.424004,74.068001,74.068001,122856000
2018-08-09,73.110001,73.402000,69.146004,70.489998,70.489998,85919000
2018-08-10,70.800003,72.000000,69.199997,71.098000,71.098000,57760000
